,Country,GMI_CNTRY,Year,Total population (millions),Continent,Sub-Continent,Military expenditure (Current USD - $ millions),Military expenditure per capita,Military expenditure (Constant USD 2022 - $ millions),Percentage change in military expenditure,Military expenditure as a share of GDP,Military expendenture as a share of government spending,Total of armed forces personnel,Armed forces personnel (% of total labour force)
4274,Niger,NER,2014,19.372014,Africa,Sub-Saharan Africa,145.60036985706867,7.516016138387505,134.08620186344734,38.669798460894796,1.338598197400791,5.696345767325558,10700.0,0.147731248
4275,Paraguay,PRY,2014,6.090721,Americas,South America,398.370830477549,65.40618597987807,344.0679220013885,5.523684425738562,0.9866053917345066,5.49240502496229,25450.0,0.889644883
4276,Portugal,PRT,2014,10.401062,Europe,Western Europe,3002.398602047124,288.6626963714978,2698.8134965749564,-7.638902392583258,1.3076866415984159,2.52996154190144,78100.0,1.492796635
4278,Romania,ROM,2014,19.908979,Europe,Central Europe,2691.470287458852,135.1887652028189,2542.1592670073796,9.276866907438542,1.3476637836228038,3.9925434944369633,151300.0,1.643599781
4279,Rwanda,RWA,2014,11.368451,Africa,Sub-Saharan Africa,90.93779321668521,7.99913666485304,94.39442522833319,13.585140515983142,1.102738751556109,4.013294154196656,35000.0,0.865752251
4281,Sierra Leone,SLE,2014,7.140688,Africa,Sub-Saharan Africa,48.81063078771625,6.835564134396608,48.63437347127101,53.723519897061365,0.9732621063217064,5.515834854914812,8500.0,0.361522136
4282,Slovenia,SVN,2014,2.06198,Europe,Central Europe,486.1948703960181,235.7902939873413,445.51827862043973,-4.173124118102834,0.9737395881967851,1.9152294345144767,13550.0,1.335767618
4284,Sri Lanka,LKA,2014,21.239457,Asia,South Asia,1914.5912202907846,90.14313408722192,1613.4236735956886,17.257386389782337,2.4126470119005115,13.510571601521962,223100.0,2.71971281
4285,Switzerland,CHE,2014,8.188649,Europe,Western Europe,4612.776476684807,563.3134936770164,4556.686852593672,-9.398542058745573,0.6348983384636893,1.9729409238181495,20800.0,0.439459397
4287,Tunisia,TUN,2014,11.428948,Africa,North Africa,908.3599628904236,79.47887792388447,790.7746494433505,19.47174699322771,1.8068874807374995,6.526302424986246,47800.0,1.164747716
4288,Uganda,UGA,2014,36.336539,Africa,Sub-Saharan Africa,325.6630272134627,8.962411836016157,321.9872750958811,5.8136145274577,0.8851501583249086,6.907922381079429,46800.0,0.359268253
